identification,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Location
6004669,HP106663,1/2/08 8:00,0000X E 112TH ST,890,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,531,5,9,49,6,1178410,1830752,2008,1/11/08 1:05,"(41.6908864317953, -87.62245024449156)"
6005567,HP101532,1/1/08 21:05,0000X E 120TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,532,5,9,53,18,1178739,1825369,2008,1/27/08 1:04,"(41.67610722753345, -87.62140861077341)"
5993618,HP102143,1/1/08 2:00,0000X E 49TH ST,460,BATTERY,SIMPLE,RESIDENCE,FALSE,TRUE,231,2,3,38,08B,1177869,1872604,2008,1/12/08 1:05,"(41.805745499075, -87.62316623950193)"
6766993,HR184208,1/1/08 12:00,0000X E 75TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,323,3,6,69,6,1177817,1855327,2008,2/26/09 1:04,"(41.758336829808286, -87.62387976115033)"
6766890,HR184201,1/1/08 9:00,0000X E 75TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,323,3,6,69,6,1178318,1855351,2008,3/11/09 1:05,"(41.758391335968, -87.62204292610183)"
6854883,HR260838,1/1/08 9:00,0000X E 8TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,132,,2,32,6,,,2008,4/22/09 1:04,
5997680,HP100331,1/1/08 3:40,0000X E CHICAGO AVE,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESTAURANT,TRUE,FALSE,1833,18,42,8,04B,1176344,1905771,2008,1/7/08 1:04,"(41.896792558131594, -87.62775981000189)"
5997484,HP100301,1/1/08 3:20,0000X E CHICAGO AVE,320,ROBBERY,STRONGARM - NO WEAPON,CTA GARAGE / OTHER PROPERTY,TRUE,FALSE,1833,18,42,8,3,1176344,1905771,2008,9/19/08 1:03,"(41.896792558131594, -87.62775981000189)"
5992922,HP101667,1/2/08 0:08,0000X E MARQUETTE RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,322,3,20,69,08B,1177979,1860567,2008,1/11/08 1:05,"(41.772712296186725, -87.62312748552776)"
5991608,HP100342,1/1/08 3:10,0000X E MONROE ST,1330,CRIMINAL TRESPASS,TO LAND,HOTEL/MOTEL,TRUE,FALSE,123,1,42,32,26,1176579,1899895,2008,1/5/08 1:04,"(41.88066319778241, -87.62707433242822)"
5996336,HP104374,1/1/08 2:00,0000X E WACKER DR,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,122,1,42,32,3,1176363,1902097,2008,1/27/08 1:04,"(41.886710483276914, -87.62780098272593)"
5995343,HP101890,1/2/08 8:23,0000X E WASHINGTON ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,122,1,42,32,08B,1176655,1900787,2008,1/6/08 1:05,"(41.88310917907338, -87.62676830415577)"
6686217,HR100883,1/1/08 13:00,0000X E WASHINGTON ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,TRUE,122,1,42,32,26,1176906,1900789,2008,1/15/09 1:04,"(41.88310899270095, -87.62584656911582)"
6007457,HP101967,1/2/08 8:20,0000X N KENTON AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,TRUE,FALSE,1113,11,28,25,16,1145751,1899968,2008,1/13/08 1:05,"(41.881503890811054, -87.74027079816702)"
5999401,HP101632,1/1/08 22:48,0000X N LARAMIE AVE,3710,INTERFERE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,SIDEWALK,TRUE,FALSE,1533,15,28,25,24,1141755,1899821,2008,1/8/08 1:04,"(41.88117534332085, -87.75494778084591)"
5991338,HP100426,1/1/08 5:15,0000X N MASON AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,FALSE,1513,15,29,25,08B,1136732,1899642,2008,1/7/08 1:04,"(41.88077555576988, -87.77339652828051)"
6418993,HP501173,1/1/08 0:01,0000X N MICHIGAN AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,OTHER,FALSE,FALSE,124,1,42,32,6,1177348,1900539,2008,9/2/08 1:03,"(41.88241296871518, -87.62423112654919)"
5992096,HP101195,1/1/08 0:05,0000X N PARKSIDE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,1513,15,29,25,08B,1138631,1900014,2008,1/17/08 9:23,"(41.881762161730386, -87.76641441922322)"
5994702,HP102349,1/2/08 13:20,0000X N STATE ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,122,1,42,32,6,1176404,1900511,2008,1/6/08 1:05,"(41.88235748669661, -87.62769831216558)"
5991571,HP100049,1/1/08 0:40,0000X N WALLER AVE,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,FALSE,FALSE,1513,15,29,25,3,1138114,1899886,2008,1/23/08 14:56,"(41.88142026898378, -87.76831595518365)"
7493072,HS296045,1/1/08 8:00,0000X S LA SALLE ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,112,,42,32,6,,,2008,6/10/10 1:16,
5995256,HP102125,1/2/08 10:53,0000X S LEAMINGTON AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,TRUE,FALSE,1533,15,28,25,26,1142184,1899309,2008,2/17/08 1:05,"(41.879762406861, -87.75338520100722)"
6001559,HP101554,1/1/08 21:42,0000X S PULASKI RD,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,1115,11,28,26,18,1149692,1899582,2008,1/9/08 1:04,"(41.88036901905895, -87.72580950239745)"
5992700,HP100951,1/1/08 0:01,0000X S WELLS ST,820,THEFT,$300 AND UNDER,STREET,FALSE,FALSE,112,1,2,32,6,1174700,1900227,2008,1/5/08 1:04,"(41.881616450045975, -87.63396385043899)"
6004014,HP100059,1/1/08 0:50,0000X W 104TH PL,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,512,5,34,49,08A,1177531,1835630,2008,1/12/08 1:05,"(41.70429222502923, -87.6255215499695)"
