identifier,name,description, audience_size ,type,source,partner,path
1.31522E+14,BKMI,,"3,464.00",education_schools,,,Demographics/Education/Schools/Universities/BKMI
6.00323E+12,Indie rock,,"65,048,990.00",interests,,,Interests/Additional interests/Indie rock
6.00327E+12,T. Rex (band),,"899,080.00",interests,,,Interests/Additional interests/T. Rex (band)
6.00518E+12,Manuel Fumic,,"79,760.00",interests,,,Interests/Additional interests/Manuel Fumic
6.00338E+12,Ashgabat,,"37,510.00",interests,,,Interests/Additional interests/Ashgabat
6.00314E+12,Max von Sydow,,"102,960.00",interests,,,Interests/Additional interests/Max von Sydow
6.0033E+12,English Bulldog AKC Puppies,,"4,353.00",interests,,,Interests/Additional interests/English Bulldog AKC Puppies
6.00338E+12,JWP,,"167,280.00",interests,,,Interests/Additional interests/JWP
6.00308E+12,Confetti,,"3,708,070.00",interests,,,Interests/Additional interests/Confetti
6.00332E+12,Rab,,"252,690.00",interests,,,Interests/Additional interests/Rab
6.01259E+12,Yves Saint Laurent Fragrances & Beauty,,"1,945,530.00",interests,,,Interests/Additional interests/Yves Saint Laurent Fragrances & Beauty
6.00373E+12,Recife,,"7,206,280.00",interests,,,Interests/Additional interests/Recife
6.01362E+12,FBI Community Outreach,,"124,020.00",interests,,,Interests/Additional interests/FBI Community Outreach
1.91551E+14,Nike BMX,,"16,113.00",work_employers,,,Demographics/Work/Employers/Nike BMX
6.01328E+12,Eti Canga,,"452,080.00",interests,,,Interests/Additional interests/Eti Canga
1.0935E+14,Acharya Narendra Dev College,,"5,134.00",education_schools,,,Demographics/Education/Schools/Universities/Acharya Narendra Dev College
6.00336E+12,Aim Global,,"76,260.00",interests,,,Interests/Additional interests/Aim Global
1.0566E+14,Entertainment (Eylence),,"8,967.00",work_employers,,,Demographics/Work/Employers/Entertainment (Eylence)
6.01018E+12,AdíÂle Exarchopoulos,,"911,220.00",interests,,,Interests/Additional interests/AdíÂle Exarchopoulos
6.00299E+12,Processor register,,"9,926,620.00",interests,,,Interests/Additional interests/Processor register
6.00329E+12,ZPU,,"610,150.00",interests,,,Interests/Additional interests/ZPU
1.51234E+14,AMG-Mercedes,,"20,102.00",work_employers,,,Demographics/Work/Employers/AMG-Mercedes
1.14574E+14,RL Turner HS,,"8,960.00",education_schools,,,Demographics/Education/Schools/Universities/RL Turner HS
6.00322E+12,Fatwa,,"1,280,060.00",interests,,,Interests/Additional interests/Fatwa
6.00309E+12,Fnideq,,"199,660.00",interests,,,Interests/Additional interests/Fnideq
6.00366E+12,Aalen,,"172,840.00",interests,,,Interests/Additional interests/Aalen
6.00334E+12,Rhythm City (TV series),,"673,430.00",interests,,,Interests/Additional interests/Rhythm City (TV series)
6.0032E+12,United States Air Force,,"21,334,520.00",interests,,,Interests/Additional interests/United States Air Force
1.75684E+14,AJK,,"3,871.00",work_positions,,,Demographics/Work/Job Titles/AJK
8.58776E+14,HeroQuizz,,"40,146,160.00",interests,,,Interests/Additional interests/HeroQuizz
50754130761,Humber Etcetera,,"201,080.00",education_schools,,,Demographics/Education/Schools/Universities/Humber Etcetera
6.00335E+12,Fujifilm,,"7,586,620.00",interests,,,Interests/Additional interests/Fujifilm
6.00328E+12,Ebiet G. Ade,,"400,440.00",interests,,,Interests/Additional interests/Ebiet G. Ade
1.35364E+14,AUB,,"213,741.00",education_schools,,,Demographics/Education/Schools/Universities/AUB
6.01536E+12,BBF Barcelona Beach Festival,,"49,550.00",interests,,,Interests/Additional interests/BBF Barcelona Beach Festival
6.0034E+12,Bieber Fever,,"590,920.00",interests,,,Interests/Additional interests/Bieber Fever
6.00348E+12,South Kensington,,"75,930.00",interests,,,Interests/Additional interests/South Kensington
2.00918E+14,Feito Ervas,,"2,224.00",work_employers,,,Demographics/Work/Employers/Feito Ervas
6.0032E+12,Kampala,,"2,394,530.00",interests,,,Interests/Additional interests/Kampala
6.00336E+12,AEX index,,"178,610.00",interests,,,Interests/Additional interests/AEX index
6.00311E+12,KLM,,"17,792,070.00",interests,,,Interests/Additional interests/KLM
6.00349E+12,Futures contract,,"10,386,690.00",interests,,,Interests/Additional interests/Futures contract
", 52",684,"429.00 """,behaviors,,,Behaviours/Seasonal and Events/Ramadan 2016,
6.0037E+12,21 (Adele album),,"35,659,670.00",interests,,,Interests/Additional interests/21 (Adele album)
6.00335E+12,Islamic republic,,"252,380.00",interests,,,Interests/Additional interests/Islamic republic
6.00289E+12,Malware,,"10,390,350.00",interests,,,Interests/Additional interests/Malware
1.22058E+14,Alribat National University,,"3,235.00",education_schools,,,Demographics/Education/Schools/Universities/Alribat National University
6.00394E+12,Video games,,"674,440,300.00",interests,,,Interests/Entertainment/Games/Video games
6.00321E+12,Go Fug Yourself: The Fug Girls,,"1,740.00",interests,,,Interests/Additional interests/Go Fug Yourself: The Fug Girls
