Year,Month,Value
1688,Jan,
1688,Feb,
1688,Mar,
1688,Apr,
1688,May,
1688,Jun,75
1688,Jul,47
1688,Aug,9
1688,Sep,43
1688,Oct,46
1688,Nov,44
1688,Dec,49
1689,Jan,36
1689,Feb,22
1689,Mar,22
1689,Apr,37
1689,May,18
1689,Jun,20
1689,Jul,116
1689,Aug,41
1689,Sep,45
1689,Oct,50
1689,Nov,66
1689,Dec,18
1690,Jan,70
1690,Feb,32
1690,Mar,43
1690,Apr,24
1690,May,68
1690,Jun,63
1690,Jul,73
1690,Aug,79
1690,Sep,21
1690,Oct,64
1690,Nov,23
1690,Dec,9
1691,Jan,
1691,Feb,
1691,Mar,
1691,Apr,
1691,May,
1691,Jun,
1691,Jul,
1691,Aug,
1691,Sep,
1691,Oct,
1691,Nov,
1691,Dec,
1692,Jan,
1692,Feb,
1692,Mar,
1692,Apr,
1692,May,
1692,Jun,
1692,Jul,
1692,Aug,
1692,Sep,
1692,Oct,
1692,Nov,
1692,Dec,
1693,Jan,25
1693,Feb,20
1693,Mar,71
1693,Apr,52
1693,May,77
1693,Jun,58
1693,Jul,54
1693,Aug,63
1693,Sep,86
1693,Oct,40
1693,Nov,46
1693,Dec,22
1694,Jan,5
1694,Feb,14
1694,Mar,10
1694,Apr,7
1694,May,24
1694,Jun,36
1694,Jul,90
1694,Aug,34
1694,Sep,28
1694,Oct,13
1694,Nov,50
1694,Dec,11
1695,Jan,88
1695,Feb,54
1695,Mar,51
1695,Apr,34
1695,May,41
1695,Jun,12
1695,Jul,76
1695,Aug,67
1695,Sep,51
1695,Oct,32
1695,Nov,12
1695,Dec,14
1696,Jan,10
1696,Feb,15
1696,Mar,52
1696,Apr,12
1696,May,85
1696,Jun,113
1696,Jul,19
1696,Aug,39
1696,Sep,29
1696,Oct,76
1696,Nov,30
1696,Dec,47
1697,Jan,
1697,Feb,
1697,Mar,
1697,Apr,
1697,May,
1697,Jun,
1697,Jul,
1697,Aug,
1697,Sep,
1697,Oct,
1697,Nov,
1697,Dec,
1698,Jan,
1698,Feb,
1698,Mar,
1698,Apr,
1698,May,
1698,Jun,
1698,Jul,
1698,Aug,
1698,Sep,
1698,Oct,
1698,Nov,
1698,Dec,
1699,Jan,26
1699,Feb,26
1699,Mar,25
1699,Apr,82
1699,May,50
1699,Jun,67
1699,Jul,25
1699,Aug,42
1699,Sep,79
1699,Oct,28
1699,Nov,22
1699,Dec,34
1700,Jan,27
1700,Feb,30
1700,Mar,30
1700,Apr,63
1700,May,39
1700,Jun,100
1700,Jul,81
1700,Aug,20
1700,Sep,3
1700,Oct,54
1700,Nov,58
1700,Dec,38
1701,Jan,39
1701,Feb,45
1701,Mar,50
1701,Apr,2
1701,May,46
1701,Jun,87
1701,Jul,61
1701,Aug,102
1701,Sep,23
1701,Oct,56
1701,Nov,43
1701,Dec,24
1702,Jan,42
1702,Feb,41
1702,Mar,21
1702,Apr,39
1702,May,13
1702,Jun,20
1702,Jul,43
1702,Aug,81
1702,Sep,25
1702,Oct,35
1702,Nov,41
1702,Dec,41
1703,Jan,21
1703,Feb,33
1703,Mar,9
1703,Apr,37
1703,May,77
1703,Jun,52
1703,Jul,64
1703,Aug,53
1703,Sep,47
1703,Oct,38
1703,Nov,29
1703,Dec,8
1704,Jan,34
1704,Feb,35
1704,Mar,43
1704,Apr,36
1704,May,61
1704,Jun,55
1704,Jul,21
1704,Aug,61
1704,Sep,77
1704,Oct,19
1704,Nov,45
1704,Dec,52
1705,Jan,12
1705,Feb,18
1705,Mar,16
1705,Apr,53
1705,May,10
1705,Jun,35
1705,Jul,6
1705,Aug,43
1705,Sep,37
1705,Oct,63
1705,Nov,30
1705,Dec,53
1706,Jan,19
1706,Feb,36
1706,Mar,8
1706,Apr,17
1706,May,53
1706,Jun,49
1706,Jul,29
1706,Aug,12
1706,Sep,41
1706,Oct,43
1706,Nov,0
1706,Dec,68
1707,Jan,11
1707,Feb,23
1707,Mar,25
1707,Apr,9
1707,May,26
1707,Jun,38
1707,Jul,86
1707,Aug,78
1707,Sep,21
1707,Oct,92
1707,Nov,14
1707,Dec,63
1708,Jan,63
1708,Feb,34
1708,Mar,36
1708,Apr,39
1708,May,68
1708,Jun,52
1708,Jul,72
1708,Aug,34
1708,Sep,27
1708,Oct,34
1708,Nov,15
1708,Dec,21
1709,Jan,51
1709,Feb,31
1709,Mar,46
1709,Apr,85
1709,May,72
1709,Jun,103
1709,Jul,41
1709,Aug,25
1709,Sep,66
1709,Oct,40
1709,Nov,4
1709,Dec,27
1710,Jan,28
1710,Feb,8
1710,Mar,32
1710,Apr,40
1710,May,27
1710,Jun,20
1710,Jul,39
1710,Aug,84
1710,Sep,36
1710,Oct,26
1710,Nov,48
1710,Dec,38
1711,Jan,19
1711,Feb,115
1711,Mar,41
1711,Apr,46
1711,May,73
1711,Jun,19
1711,Jul,115
1711,Aug,45
1711,Sep,55
1711,Oct,71
1711,Nov,47
1711,Dec,36
1712,Jan,45
1712,Feb,19
1712,Mar,14
1712,Apr,115
1712,May,28
1712,Jun,52
1712,Jul,82
1712,Aug,14
1712,Sep,89
1712,Oct,58
1712,Nov,37
1712,Dec,19
1713,Jan,43
1713,Feb,28
1713,Mar,20
1713,Apr,65
1713,May,57
1713,Jun,51
1713,Jul,137
1713,Aug,56
1713,Sep,38
1713,Oct,40
1713,Nov,19
1713,Dec,5
1714,Jan,10
1714,Feb,20
1714,Mar,25
1714,Apr,13
1714,May,37
1714,Jun,68
1714,Jul,63
1714,Aug,22
1714,Sep,50
1714,Oct,38
1714,Nov,0
1714,Dec,45
1715,Jan,15
1715,Feb,15
1715,Mar,33
1715,Apr,43
1715,May,28
1715,Jun,69
1715,Jul,49
1715,Aug,87
1715,Sep,19
1715,Oct,26
1715,Nov,55
1715,Dec,34
1716,Jan,66
1716,Feb,22
1716,Mar,23
1716,Apr,14
1716,May,23
1716,Jun,10
1716,Jul,55
1716,Aug,9
1716,Sep,62
1716,Oct,61
1716,Nov,24
1716,Dec,19
1717,Jan,17
1717,Feb,22
1717,Mar,16
1717,Apr,40
1717,May,47
1717,Jun,41
1717,Jul,56
1717,Aug,32
1717,Sep,60
1717,Oct,23
1717,Nov,35
1717,Dec,89
1718,Jan,29
1718,Feb,19
1718,Mar,30
1718,Apr,50
1718,May,16
1718,Jun,56
1718,Jul,28
1718,Aug,44
1718,Sep,21
1718,Oct,38
1718,Nov,10
1718,Dec,15
1719,Jan,31
1719,Feb,27
1719,Mar,7
1719,Apr,11
1719,May,9
1719,Jun,45
1719,Jul,48
1719,Aug,5
1719,Sep,14
1719,Oct,32
