identification,Case Number,Date-Time,Date,Time,Block,Street,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Location,Latitude,Longitude
7446859,HS247325,1/1/08 0:01,1/1/08,0:01,004XX E 133RD ST,E 133RD ST,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,FALSE,FALSE,533,,9,54,6,,,2008,4/30/10 1:15,,,
6236266,HP323693,1/1/08 0:01,1/1/08,0:01,013XX E 49TH ST,E 49TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2124,2,4,39,6,1186146,1872823,2008,5/24/08 1:05,"(41.80615476732223, -87.59280284925518)",41.80615477,-87.59280285
7514546,HS317259,1/1/08 0:01,1/1/08,0:01,014XX E 59TH ST,E 59TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2133,,5,41,6,,,2008,5/24/10 1:12,,,
6422569,HP499242,1/1/08 0:01,1/1/08,0:01,014XX E 62ND ST,E 62ND ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,314,3,20,42,6,1186762,1864130,2008,8/17/08 1:04,"(41.78228592790556, -87.5908189949899)",41.78228593,-87.59081899
6013347,HP118097,1/1/08 0:01,1/1/08,0:01,014XX E 72ND PL,E 72ND PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,324,3,5,43,26,1187119,1857171,2008,1/16/08 1:05,"(41.76318136897587, -87.58973074990949)",41.76318137,-87.58973075
6608686,HP679238,1/1/08 0:01,1/1/08,0:01,015XX E 74TH PL,E 74TH PL,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,FALSE,FALSE,324,3,5,43,6,1187859,1855857,2008,11/28/08 1:03,"(41.75955804915209, -87.58706033233304)",41.75955805,-87.58706033
6867276,HR270660,1/1/08 0:01,1/1/08,0:01,020XX E 75TH ST,E 75TH ST,266,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,TRUE,FALSE,414,4,8,43,2,1191356,1855607,2008,4/24/09 1:03,"(41.75878806614018, -87.57425219676995)",41.75878807,-87.5742522
6367359,HP452321,1/1/08 0:01,1/1/08,0:01,030XX E CHELTENHAM PL,E CHELTENHAM PL,840,THEFT,FINANCIAL ID THEFT: OVER $300,STREET,FALSE,FALSE,421,4,7,43,6,1197442,1853260,2008,8/10/08 1:04,"(41.75219820520971, -87.55202598677165)",41.75219821,-87.55202599
7162951,HR572211,1/1/08 0:01,1/1/08,0:01,001XX E RANDOLPH ST,E RANDOLPH ST,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,124,,42,32,6,,,2008,11/6/09 1:04,,,
6651585,HP716416,1/1/08 0:01,1/1/08,0:01,012XX N ARTESIAN AVE,N ARTESIAN AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,1423,14,26,24,6,1159803,1908375,2008,12/15/08 1:03,"(41.90429535973555, -87.68844017387774)",41.90429536,-87.68844017
6073181,HP167169,1/1/08 0:01,1/1/08,0:01,051XX N ASHLAND AVE,N ASHLAND AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2032,20,48,3,6,1164774,1934216,2008,2/20/08 1:04,"(41.97510043053131, -87.66944527948839)",41.97510043,-87.66944528
6005506,HP110204,1/1/08 0:01,1/1/08,0:01,055XX N AUSTIN AVE,N AUSTIN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1622,16,45,11,14,1135262,1936302,2008,1/12/08 1:05,"(41.98140090701928, -87.77792231859272)",41.98140091,-87.77792232
6399833,HP481640,1/1/08 0:01,1/1/08,0:01,058XX N BROADWAY,N BROADWAY,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,FALSE,FALSE,2022,20,48,77,6,1167293,1938832,2008,8/17/08 1:04,"(41.98771291884768, -87.66004868850727)",41.98771292,-87.66004869
6317681,HP404239,1/1/08 0:01,1/1/08,0:01,035XX N CALIFORNIA AVE,N CALIFORNIA AVE,820,THEFT,$300 AND UNDER,FACTORY/MANUFACTURING BUILDING,TRUE,FALSE,1733,17,33,21,6,1157054,1923218,2008,7/7/08 1:03,"(41.94508193921693, -87.69813412528651)",41.94508194,-87.69813413
6329042,HP413224,1/1/08 0:01,1/1/08,0:01,039XX N CALIFORNIA AVE,N CALIFORNIA AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1733,17,33,16,6,1156968,1926207,2008,7/3/08 1:04,"(41.953285694491875, -87.69836883607196)",41.95328569,-87.69836884
7387416,HS189275,1/1/08 0:01,1/1/08,0:01,007XX N CENTRAL AVE,N CENTRAL AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,FALSE,FALSE,1524,,37,25,17,,,2008,3/7/10 1:15,,,
9146737,HW292445,1/1/08 0:01,1/1/08,0:01,017XX N CENTRAL AVE,N CENTRAL AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,FALSE,FALSE,2532,,37,25,20,,,2008,6/7/13 0:42,,,
6164209,HP253253,1/1/08 0:01,1/1/08,0:01,044XX N CENTRAL PARK AVE,N CENTRAL PARK AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,1723,17,33,14,2,1151628,1929290,2008,8/21/08 1:04,"(41.961852551266205, -87.71791781622724)",41.96185255,-87.71791782
6036983,HP139426,1/1/08 0:01,1/1/08,0:01,017XX N CLEVELAND AVE,N CLEVELAND AVE,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,1813,18,43,7,6,1172620,1911916,2008,2/9/08 1:05,"(41.91373799012078, -87.64125523723317)",41.91373799,-87.64125524
6043893,HP144222,1/1/08 0:01,1/1/08,0:01,010XX N DAMEN AVE,N DAMEN AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,FALSE,FALSE,1322,13,1,24,6,1162924,1906799,2008,2/17/08 1:05,"(41.89990574150719, -87.67702020373746)",41.89990574,-87.6770202
6228933,HP312703,1/1/08 0:01,1/1/08,0:01,038XX N DAMEN AVE,N DAMEN AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,1923,19,47,5,26,1162367,1925643,2008,5/9/08 1:05,"(41.95162656774468, -87.67853752518833)",41.95162657,-87.67853753
6516372,HP588178,1/1/08 0:01,1/1/08,0:01,061XX N DAMEN AVE,N DAMEN AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,2413,24,40,2,26,1161836,1940961,2008,11/13/08 1:04,"(41.9936709316141, -87.68006008576694)",41.99367093,-87.68006009
6921451,HR326233,1/1/08 0:01,1/1/08,0:01,045XX N DRAKE AVE,N DRAKE AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,OTHER,FALSE,FALSE,1723,,33,14,11,,,2008,6/9/09 1:04,,,
6291906,HP381450,1/1/08 0:01,1/1/08,0:01,059XX N ELSTON AVE,N ELSTON AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,RESIDENCE,FALSE,FALSE,1622,16,45,11,26,1135897,1939028,2008,6/20/08 1:03,"(41.98886996062633, -87.77552164804723)",41.98886996,-87.77552165
6078681,HP178523,1/1/08 0:01,1/1/08,0:01,017XX N FAIRFIELD AVE,N FAIRFIELD AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE-GARAGE,FALSE,FALSE,1421,14,1,24,7,1157731,1911288,2008,3/10/08 1:05,"(41.912331362793395, -87.69597169082108)",41.91233136,-87.69597169
6183446,HP269775,1/1/08 0:01,1/1/08,0:01,048XX N FRANCISCO AVE,N FRANCISCO AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,OTHER,FALSE,FALSE,2031,20,40,4,17,1156364,1932117,2008,4/19/08 1:06,"(41.96951534224013, -87.70042872515384)",41.96951534,-87.70042873
7379531,HS180892,1/1/08 0:01,1/1/08,0:01,020XX N HAMLIN AVE,N HAMLIN AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,FALSE,FALSE,2525,,26,22,20,,,2008,3/15/10 1:14,,,
6170755,HP258926,1/1/08 0:01,1/1/08,0:01,006XX N HARDING AVE,N HARDING AVE,810,THEFT,OVER $300,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1122,11,27,23,6,1149980,1904024,2008,4/12/08 1:05,"(41.892552745905896, -87.72463629111546)",41.89255275,-87.72463629
